"metier","nom","adresse","ville_recherche","comarca","telephone","telephone_intl","note","nb_avis","nb_photos","google_maps","place_id","horaires","meilleur_avis","latitude","longitude","photo_1","photo_2"
"electricista","Electricista Alicante","03560 El Campello, Alicante, España","Alicante","Alacantí","623 32 27 44","+34 623 32 27 44","5","1","1","https://maps.google.com/?cid=15718706198686206942","ChIJE53NXtYAvIkR3gtspQEQJNo","lunes: Abierto 24 horas | martes: Abierto 24 horas | miércoles: Abierto 24 horas | jueves: Abierto 24 horas | viernes: Abierto 24 horas | sábado: Abierto 24 horas | domingo: Abierto 24 horas","elena guijarro: Un chico súper amable, Jesús. Desde que le llamé y hablé con el vi su intención de ayudar. Era Nochebuena y nadie venia a tu casa en una noche así. El seguro no localizaba a nadie para enviarnos. Y él desde el primer momento nos dijo que vendría cuando acabara las otras urgencias que tenía. Y luego nos fue llamando para informarnos de lo que le faltaba para llegar. En fin: empresa recomendable al 100%. Y Jesús un ángel, la verdad.","38.4106274","-0.4041459","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN2C-c_NrJIlVpnSvjXyLPA5vZNyI4VmwO19-7hCqW6GttyKESK7NFgSHOucyLVdvvmVfgvTYFD5y-lZJN5wasvJD5fYzsBdmhdK5drJZ3MNhtbsUsrPaHehEJe2OOiCABY_ZtIjC0tfBS7oUSarvDesmPf5ttwJdyimq5PD5LSp0RZoj0j9L1aUWYI2MXg1Yj3M9tHFXxH-g3j4jCYjpHDyUjApEayxL2dC0C7Ast0tkba6ngbE7lHiPzwwp54Z-q5JEgIX0Q2UNajnFFM6Hy5I4PCGb_BCMCKjfykFEDaRlg&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo",""
"electricista","MONTAJES ELÉCTRICOS RAMÓN","Carrer Dr. Santaolalla, 15, 03005 Alacant, Alicante, España","Alicante","Alacantí","677 51 30 01","+34 677 51 30 01","4.7","31","1","https://maps.google.com/?cid=14571528898818296229","ChIJbyykVUU2Yg0RpUlniFR4OMo","lunes: Abierto 24 horas | martes: Abierto 24 horas | miércoles: Abierto 24 horas | jueves: Abierto 24 horas | viernes: Abierto 24 horas | sábado: Abierto 24 horas | domingo: Abierto 24 horas","Adrián Fernández: Encantador servicio, desde la recepción por parte de la encargada para agendar cita, hasta el operario (Jose) y su trabajo realizado a la perfección.","38.3469177","-0.4974971","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN2YNrVnOVBYpKTeEDMzQ-WeioLXrjEST6fwgDYS_8W1I2adTWxoF43LHP3NA_UIDOjtxrhwRa5X3qn2c-4nvkqQ9Y-BCgOu_q0PNOUs6GBKQYTzSkhQfQ5-chlG6iukf0FrOpwEsOq-sDPtHRmkXo36uoyUQFB25KjYGgBwVs55AkeV6pvHnSJBxHZ8zYtUtpPeyj4IEnDMrwPa40SzROYjk9tJYSeAKMJDh9dSi5e-q_9NUJn-pTHBFBdAxHHqImKppZETNGd7j3jr8TtBLbJ3K63zC5UV3ABaf8NHbga70A&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo",""
"electricista","Electricistas Daniel Pacheco","C. de Francisco Escolano, 22, B, 03006 Alicante (Alacant), Alicante, España","Alicante","Alacantí","687 18 04 06","+34 687 18 04 06","5","1","5","https://maps.google.com/?cid=15843357380494608506","ChIJ6RBpZHM3Yg0ResjxiZjp3ts","lunes: Abierto 24 horas | martes: Abierto 24 horas | miércoles: Abierto 24 horas | jueves: Abierto 24 horas | viernes: Abierto 24 horas | sábado: Abierto 24 horas | domingo: Abierto 24 horas","Manuel Moreira: Estamos contentos con esta empresa ya que tuvimos un problema con la electricidad y nos tuvieron que cortar la luz. Le llamé por una avería en mi empresa a las 2 de la madrugada y vino enseguida y lo arregló todo.","38.3440514","-0.4985870000000001","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN0AGshix7rUsTszac6UoJjW4wshnykr59kOZX6r4ti2hj5kgN2yrj9gHzDB90-DMt5H8GPIcIKVGVEhW3_9LvtpbRFNhmjcEqAgjRhJysdWVwkpaoE4BFFRT7SEzJ_nPytYC71w_sYRGimVbNowyCuQ23zpKlI-9SgZ7g1WcgfuJ54EM4XqPB52_Ifj3SjHOEKaIu2wzFUegMH9aaPIsTenpkwrc1TzSMG7fUVl_j8RhjR0IoiaOPj8UHsThmAxUDyl9BhzBxxZB9Lq9n8-ummVflH78qOk5XJgUmLnTtUE_w&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN1U8iCAeJcGFKfsoV25dEos6GsJflNvF_i7rIHPsGHx8zNPddPRo5-e25-zAailVCh6uSYxDK-rIzMO4M0_I6NYf--wboKVK_QDLEMtf7t8LCnaAEio6x_b0S5_efwTozpRa0KGHXVQjnqOU7b1GHu4rL1uxL292h2eLQgq_kxix1SOzcpXafrNHEhYoQO_FrwnH0DvQazoWpWh7LJPP6zRUlq4jnVl6xtU5dNsG58s0W_-owQsM_jKmS2UFQjKVTdpc1tKj5zGO_6o3FJa1cr3FEuzUFIJ2VAVSlcaWsInfg&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo"
"electricista","Marcu Electric Company","C. de Donoso Cortés, 14, local izquierdo, 03012 Alicante (Alacant), Alicante, España","Alicante","Alacantí","647 59 59 15","+34 647 59 59 15","4.9","39","5","https://maps.google.com/?cid=7187084689063894964","ChIJvzeg36A3Yg0RtF9NJnKnvWM","lunes: 9:00–14:00, 16:00–18:00 | martes: 9:00–14:00, 16:00–18:00 | miércoles: 9:00–14:00, 16:00–18:00 | jueves: 9:00–14:00, 16:00–18:00 | viernes: 9:00–14:00, 16:00–18:00 | sábado: 9:00–14:00, 16:00–18:00 | domingo: Cerrado","Lisa Артюхова: Muy contentos con el trabajo realizado. Profesional, puntual y muy detallista. Supo resolver todo de forma rápida y eficiente, dejando todo limpio y en perfecto estado. Sin duda volveremos a contar con él para futuros proyectos. ¡Muy recomendable!","38.3565119","-0.4837773","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN3x14PNOSAHHsyPK_DJwmBZLkNU1smFqCovSkXCx8J7HM3okUNNBu1FBeMB0uCy7uP9KzMv_H3SsfVHaA7bTc_7ZovcC8eUvuaYxCQix4vcTckLElGPEq4FCvuieSYLNvBDTVQov6eDjiuNQascfyMoySw6h7XAIvg14L4ZZ-Br-BKqDy125wl398L2mFUhE7XOcNI8P8MA05S3at-U0043SWYwXUOZVqOzp7IX7XvH2FByYJpNNwDffLlhT00DH3Zaj3WXzKULvLZwsinmjijTOEtpGBLqlUHghc_R0IPDJcfoYRVNuftdRIH8NIqFm4RDseOVE18iQ0z-qtscAUKsOz7bvtKuKBi5-Xd9TBAmMGwcqJX9WoX7va67BO5M9vZVSZCRJkWcju49n1QysTkHfCE4Ci9N3sg-BSUvf-jHT3vC6MSh239NxVrgXpYe&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN3J-Yk9HrjTqTA35bt8qhsoXrEujyGJnhkMyUNClajf1fmpZeOCrX4oqARDp-M0rfkLhB-5t2a8SYOy9L2CgAIc6Sg5fzzHdZuYkyyCym_IsMy2lcQbb5iUZ1YgjB3iqNioJYU6eR0_GL8YRk3hEscvxZanKBGF-hFkHcAP6ANRlj3mj9sbKumnyhSOd8PY16IhhhBqWI4pzejgxzzjQknY48f93YWIBUpJHU6mWlMVlIFpFqzQIaPgdGeWTXB0wkt4FwThIFFuuZoAh-1STZUDvy_21lS_DyOXZGD7nsBglQ&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo"
"electricista","TECNICO ELECTRICISTA","C. Bañeres, 03690 San Vicente del Raspeig, Alicante, España","Alicante","Alacantí","657 27 30 71","+34 657 27 30 71","5","3","5","https://maps.google.com/?cid=14139131497912958633","ChIJ56vKUKkzYg0RqX6jXS9JOMQ","lunes: 9:00–20:00 | martes: 9:00–8:00 | miércoles: 9:00–20:00 | jueves: 9:00–20:00 | viernes: 9:00–19:00 | sábado: 10:00–17:00 | domingo: Cerrado","Rossangie Lagos Villares:","38.4004141","-0.5264153","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN0PyWSbxPSwfqf2iz2T9rJdActd9WCS1bWvITb2vAWpfvbuLCEKQre8tdfTqo4VlIpMQxtCY1ceJJVIEjiQ8w0kpRhX4H77zQqrodNSK8ccJr3SUFlXfMOk8rPp-s4YEPD_Qu6fOPEiAaRyly0AgbQSkGabnZhPDJ8yKjy_5fKXY45Upy3rx_8AHCXGhrlZvP1of9LMSHBqK0h1pXk9oMh7cDVnB459mMrgVrGtE3dhPQHY-uuwBo3apaLUaYYP3mlBlYwFMXPHbXAix4sK8JzarUhph3zEJj5caPoVd-y8Og&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN31v6hb1nR6hUcMTD92IZgptWq9Ode_cOG3bxdP15_dphL0otPvhc_4zDrJvK9BL352jbMcUiRwqQPuleUTjJ0aTLagkojGui-IjRgmj1k_IpjwLJy58NjW8_je-YD3kAkD3a1fCTQQd5vu0Y_CDg8EIekMG7O2KltyC2s_RR3lZAmPT0WpESulYOw06Fd4Yp3TeTQ7Hor_H7BmH_umB2Af9LHMrzOcMhMG89gdiHUTgQr_QDXp9W6I2ErYkRoaxhhD22Q1w19HZvA1efiEN7UmpptjIvNYVM_Qwv7ubMXwvQwEBSHUQU0ApmEGaAWWNVR7MJGXPrJSwKHn8zCumeEIFhGs4QczHvUlXvjODkE-jRdMPtRTeBqN3VUOFGBu4EBciLbvYMW-Rm8-G06RRCEaIgYpxI1fwUsk-tKcppYZrA&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo"
"electricista","Rodríguez Electricidad","03690 San Vicente del Raspeig, Alicante, España","San Vicente del Raspeig","Alacantí","653 98 51 10","+34 653 98 51 10","5","46","5","https://maps.google.com/?cid=7957484543129560488","ChIJtWjOFPc3Yg0RqCXmCgiqbm4","lunes: 9:00–17:00 | martes: 9:00–17:00 | miércoles: 9:00–17:00 | jueves: 9:00–17:00 | viernes: 9:00–17:00 | sábado: 9:00–17:00 | domingo: Cerrado","CrobaGG: Trabaja rápido, con precios muy asequibles y arregla todo lo que te pase en casa. Me arregló fallos de la instalación de la casa, que otros no me hicieron bien. Muy contento con él. Siempre contaré con él para cualquier cosa de la casa.","38.3985422","-0.5235341","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN11L-N1gFk_icH5zpp4wxNO-s96n2zLzg3g1A3sfpNmrRzcjswkTFHZf7lp96K686y-MhYtk3_IV9KU5c5c1RCRU4tYQVFQlA1KUrIQcIka0HbwsnfFbawnTseqCSz_xLs-xMZZY1NaVYDtfiaEjoHqOI362mgvrf_vLEhHMw23gkcuKKFbCVH_-dAdBWTJSdQHVH60yNFrvTAurqJaQDZl_lalSvv5xVoqsCWhKffC0N9kI2m7HFmDpMPXwA1epBccXngcANVY9gI0evpndnFXjAIi_9ZS--9GPn0GsqxZaQ&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN13gXRylFXfW8JUlRoxcXJ5uCWRNI2xxmYpCbPEHJev1WtrBDLob8bbnlXN9C9p75_xfx78PlcRumhhBRGDNsGE7rftqmcSxLPNirG4YqXiFU5FVyDizhaSIJvRbAUaO9dgujoUf2QrqhYxf2OxWjeqv7b9a5eJNRdYwau1JnMNt-7hHrXosM9dws_-BUa6c__Cmly4PXMq4M7ZeVaRINL5PcHCrIwKjoNEwe3P0G8D2QeNoGycqHausidWD-RQsm5kUyiyhCRWnXLtY-l6FrF4K5mKGAFGdJ6ZGUmbVUG3jg&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo"
"electricista","Electricidad Paco Díaz S.L.","C. de Valencia, 2, 03690 San Vicente del Raspeig, Alicante, España","San Vicente del Raspeig","Alacantí","966 14 42 52","+34 966 14 42 52","5","1","0","https://maps.google.com/?cid=13874781932704832174","ChIJmSkH3602Yg0Rrhrh8qcgjcA","","Jose:","38.3945897","-0.5177125000000001","",""
"electricista","Electricidad Sonivan, s.l.","C. Álvarez Quintero, 34, 03690 San Vicente del Raspeig, Alicante, España","San Vicente del Raspeig","Alacantí","965 66 07 15","+34 965 66 07 15","4.8","4","5","https://maps.google.com/?cid=16122550547880673810","ChIJhTmvGEM1Yg0REgK1Z03Ovt8","lunes: 9:30–13:30, 17:30–20:00 | martes: 9:30–13:30, 17:30–20:00 | miércoles: 9:30–13:30, 17:30–20:00 | jueves: 9:30–13:30, 17:30–20:00 | viernes: 9:30–13:30, 17:30–20:00 | sábado: Cerrado | domingo: Cerrado","Sonia R: La mejor tienda de electricidad de San Vicente, los trabajadores se nota que son unos profesionales del sector por no hablar del trato hacia el cliente.No pongo más estrellas porque no hay!Mi tienda de confianza en el poble de tota la vida 😉","38.3995751","-0.5303688999999999","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN0_EnpMRNWPDkNDlndbDhclZmEQ6_5cgR8rB2tlw4P93YXFeJixmxs3zDy76n8jvaOIN4VPmFZklldCIhlOyPNXCXhMl04bNzIXTs0UVHOV2q8dweJdHf3U6kz5LqZe19cJApaBNyrjLwyBqCmC1EVFiUkpqRnaym5bYUu1V-TBer7dxiVOchsNNVWunPZP7sufN8ll-vdNTduxHFrnPPvx99tlB6Vl5rw52F3hXysR62F97FpZ05Ga12xbi_Th88rCS3udjGxZaaDAX4ti0H97pARgxbnlPf-fpE6GTPcBHA&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN12WDVrWAXqWapQ_hBa_WWPxmxLTPjou8g6haPygnr_fet7BqZ-7sQ-c0q4RqOfscuwD-JzWPKpHvqOJC7mi0zJ9KGPz6bCcG45X8B9pRtL9PFpf417ZVfn9oMv-HXgngKL035uVFUF-3wmwRGqpuEL-FDqFHzZdu6kx-2cAL_jkwFTIAkICV5bjDH-h1H4GGX5QhT-KSSoMTXxOlw39IOzz5kChmJyrmWCKrhlzyqxYLxrVZqxjt4KzIik_pe7aLmkQ1YPvZvOBWqW45bwQdmOpKLfsTgEAEle3pOZyJLbBQ&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo"
"electricista","Miguel Pastor Instalaciones","Alicante, C. Lillo Juan, 03690 San Vicente del Raspeig, Alicante, España","San Vicente del Raspeig","Alacantí","608 16 51 56","+34 608 16 51 56","5","3","1","https://maps.google.com/?cid=11218839831408289695","ChIJEWQZGwA0Yg0RnycY_2JTsZs","lunes: 8:00–20:00 | martes: 8:00–20:00 | miércoles: 8:00–20:00 | jueves: 8:00–20:00 | viernes: 8:00–20:00 | sábado: Cerrado | domingo: Cerrado","Ignacio Iborra: Excelentes profesionales. Siempre que los hemos necesitado han hecho un gran trabajo.","38.3989082","-0.5261646999999999","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AcnlKN3HUeRtgu1ZSr8eNjikwwzGhnLkDn3JCgIFT3Fy2YUgtHekaMHcUTJoosaA0ykKTF-ZL19anzFHrxIIwpGV8MUWBMghy-loc7wnXfrsBshgbljW3anxb318Gll0MY9-zo1zgjBCTq8Tf7BFDZIFINCHgulzm75KVjtv-WhmMNf7ZFxTlnjum6WK4E4OJ9lgv1DkVrqCx08yxBmeoCmXzNaYiZiB14IvDQBmgcW26sIOWYnL_W_ymjHb6BBr0PNg-pTgvwA_ndBIDNz0VqB6IhauLfCCwbwTibAJNePS_cvOig&key=AIzaSyDYOoF-ybVDXPXhmnOq1TChpFQkEgr9meo",""
"electricista","Electricidad En General Santi","C. San Pascual, 03690 San Vicente del Raspeig, Alicante, España","San Vicente del Raspeig","Alacantí","","","0","0","0","https://maps.google.com/?cid=12149288856727570184","ChIJkdPUclUxYg0RCMfbctjxmqg","","","38.4018295","-0.5244917","",""
